2017-09-07 17:12:09,827 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 17:12:09,838 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-07 17:12:19,060 [Worker-55] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-09-07 17:12:19,457 [Worker-55] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bonc.blog:blogProject:0.0.1-SNAPSHOT @ C:\JavaWebTest\blogProject\pom.xml.
2017-09-07 17:12:19,568 [Worker-55] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /blogProject/src/main/java
2017-09-07 17:12:19,573 [Worker-55] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /blogProject/src/main/resources
2017-09-07 17:12:19,579 [Worker-55] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /blogProject/src/test/java
2017-09-07 17:12:19,583 [Worker-55] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /blogProject/src/test/resources
2017-09-07 17:12:19,751 [Worker-55] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-09-07 17:12:19,917 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 17:12:19,929 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-07 17:12:19,937 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 17:12:19,949 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-07 17:13:24,553 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 17:13:24,574 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-07 17:13:24,590 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 17:13:24,637 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
